scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags
Animal Husbandry,ahtn,"The “Animal Husbandry” scheme by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, offers Adi Dravidar and Tribal beneficiaries various forms of support, including a 50% to 75% subsidy on sheep units, milch animals, and calves. Additionally, the scheme ensures the animals receive proper health cover, artificial insemination services, and other veterinary care. ﻿ ﻿","Subsidy: Subsidy of 50% to 75% on sheep units, milch animals, and calves. Health Care Facility for Animals: Provision of health care and veterinary services. Others: Artificial insemination for animals to improve breeding. ﻿",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a Farmer. The beneficiary should belong to the Adi Dravidar/Tribal community.,"Step 1: The interested applicant should collect the application form from the office of the Director of Adi Dravidar and the Tribal Welfare Officer/ Director of the Animal Husbandry Department or the Veterinary Hospital. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned department. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).",Proof of identity (Aadhar card or any other document as directed by the authority). Community certificate. Any other documents (if required).,State,"Agriculture,Rural & Environment",,"Tribal Welfare, Animal Husbandry, Animals Health Cover, Artificial Insemination, Distribution Of Sheep Units"
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I,atnmasfogi,"The 'Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I' was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme provides financial assistance to the orphan girls for their marriage. The bride should have completed 18 years of age at the time of marriage.","Financial assistance of ₹25,000/-. One sovereign (8gm) 22-carat gold coin for making Thirumangalyam. Mode of Disbursal: Through Electronic Clearing Service.",The applicant should be a girl. The applicant should be an orphan. The bride should be 18 years or above at the time of marriage.,"Step 1: The applicant should gather copies of the necessary documents needed to apply for the concerned scheme. Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. Step 4: Request a receipt or acknowledgment from the CSC. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). Application Deadline 40 days before the marriage date (In exceptional circumstances, the application can be submitted one day before the marriage date).","1. Death Certificate of Father & Mother or Orphan Certificate (Issued by a Member of Parliament (MP)/ Member of the Legislative Assembly (MLA)). 2. Income Certificate from Tahsildar. 3. Marriage Invitation. 4. Age Proof of the Bride. 5. Bride’s Photograph. 6. Bills towards the Purchase of Marriage Articles for ₹1,000/-. 7. Any other document as required by the Department. ﻿",State,"Women and Child, Social welfare & Empowerment",,"Orphan, Girl, Marriage, Gold"
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II,atnmasfogii,"The ""Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-I"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. The scheme provides financial assistance to the orphan girls for their marriage. The bride should have completed 18 years of age at the time of marriage.","Financial assistance of ₹25,000/-. One sovereign (8gm) 22-carat gold coin for making Thirumangalyam. Mode of Disbursal: Through Electronic Clearing Service.","The applicant should be a girl. The applicant should be an orphan. The bride should be 18 years or above at the time of marriage. The applicant should have a degree passed from regular colleges, distance education/government-recognized open university. The applicant should have a diploma passed from the Institution recognized by the Directorate of Technical Education, Government of Tamil Nadu.","Step 1: The applicant should gather copies of the necessary documents needed to apply for the concerned scheme. Step 2: The applicant should visit the nearest Common Service Center (CSC) and complete the Biometric Verification Process. Step 3: In the application form, fill in all the mandatory fields and upload copies of all the mandatory documents. Step 4: Request a receipt or acknowledgment from the CSC. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). Application Deadline 40 days before the marriage date (In exceptional circumstances, the application can be submitted one day before the marriage date).","1. Death Certificate of Father & Mother or Orphan Certificate (Issued by a Member of Parliament (MP)/ Member of the Legislative Assembly (MLA)). 2. Income Certificate from Tahsildar. 3. Marriage Invitation. 4. Age Proof of the Bride. 5. Bride’s Photograph. 6. Bills towards the Purchase of Marriage Articles for ₹1,000/-. 7. Any other document as required by the Department.",State,"Women and Child, Social welfare & Empowerment",,"Orphan, Girl, Marriage, Gold"
Annal Ambedkar Business Champions Scheme,aabcs,"The scheme “Annal Ambedkar Business Champions Scheme (AABCS)” was launched by the Department of Micro, Small and Medium Enterprises, Government of Tamil Nadu. The Government of Tamil Nadu noted that the share of persons from Scheduled Caste and Scheduled Tribe communities who avail of various entrepreneurship promotion subsidies from the Government is very low. In order to promote the economic development of SC/ST entrepreneurs, this scheme has been launched by the Government of Tamil Nadu. The new scheme will provide a 35% capital subsidy and offer a 6% interest subvention for loans to procure machinery and equipment. This scheme shall be implemented by the Micro, Small and Medium Enterprises Department through the Industries Commissioner and Director of Industries & Commerce (ICDIC). The Industries Commissioner and Director of Industries and Commerce shall be assisted by FaMeTN, Entrepreneurship Development and Innovation Institute, and StartupTN with manpower and other resources for implementing the Scheme. A State Level Steering Committee for the scheme shall be constituted with the Secretaries of Finance, Micro, Small and Medium Enterprises, Adi Dravidar and Tribal Welfare Departments, Industries Commissioner and Director of Industries and Commerce, Commissioner of Adi Dravidar Welfare and Commissioner of Tribal Welfare. This Committee will review the scheme once a quarter and suggest necessary modifications, if necessary.","Under the scheme, the State Government will provide a 35% capital subsidy on the Eligible Project Cost, not exceeding ₹1.5 Crore. A 6% interest subvention will be given for loans sanctioned under this scheme. Note 01: Interest subvention will be given to loans sanctioned by scheduled Commercial Banks, Co-Operatives Banks, Tamil Nadu Industrial Investment Corporation, and Non-Banking Financial Companies (NBFCs) during the tenure of the loan not exceeding 10 years. Note 02: The capital subsidy sanctioned will be provided frontend to the extent necessary to constitute margin money requirement for credit linkage. Note 03: The working capital sanctioned for the project shall be eligible for interest subvention for a period not exceeding 2 years.","The applicant should be a resident of the State of Tamil Nadu. The beneficiaries shall be persons belonging to SC/ST communities. Enterprises supported under the scheme shall be 100% owned by persons belonging to SC/STs. The enterprises may have any legal personality allowed to conduct business for profit as per prevailing laws which include sole proprietorship, partnership, and company. The scheme can support both new enterprises and expansion of existing enterprises. The eligible enterprises can be business enterprises in the areas of manufacturing and services. Trading-related projects which are above the threshold of assistance under the existing Unemployed Youth Employment Generation Programme (UYEGP) scheme will also be covered. The age limit for beneficiaries will be 55 years. There shall be no minimum educational qualification for beneficiaries. There will be no bar on the beneficiary to claim additional capital subsidy from schemes operated by agencies not controlled by the Government of Tamil Nadu. This will include the Credit Linked Capital Subsidy Scheme (CLCSS) of the Union Government, schemes of Coir Board, etc., Entrepreneurship Development Training will be given to all beneficiaries by Entrepreneurship Development and Innovation Institute, as done in the case of the New Entrepreneur-cum- Enterprise Development Scheme (NEEDS). Note 01: The scheme will cover new entrepreneurs and existing entrepreneurs. Note 02: Eligible Project Cost shall include all investments of a capital nature and will include land, plant, machinery, testing equipment, and computing devices, Cost of land may be taken into account for the purposes of calculating subsidy which should not exceed 20% of the total project cost. Vehicles shall be considered as part of project cost only in cases where the vehicle is integral to the business process as in the case of taxi and lorry business, earth moving equipment, bore well drilling, sanitary service equipment like Jet Roding machines, etc., Note 03: This training will be given even for prospective applicants or their wards where subsidy applications are under process. Convergence with existing training schemes of the Government, including the Tamil Nadu Skill Development Corporation (TNSDC) will also be implemented for this purpose.","Step 01: The applicant willing to avail loan under the AABCS scheme should fill up the online application through the Official Website of the Micro, Small and Medium Enterprises Department, Government of Tamil Nadu. Step 02: On the home page, click on “Apply Online” and then “New Application”. Step 03: Click on ‘Register’ and fill in the details like Name, Date of Birth, Email ID, Aadhaar Number & Mobile Number. Step 04: After successful registration, click on ‘login’ and fill in all the mandatory details. Step 05: Upload all the necessary documents and submit the application form. ﻿ Dos and Don’ts While Filing Online Application ﻿","1.	Identity proof i.e. copy of Election ID Card/ Aadhaar card 2.	Copy of PAN Card 3.	Passport size photo 4.	Proof of age 5.	Caste/Community Certificate 6.	Residence proof 7.	Bank account details 8.	Any other documents, if required",State,Business & Entrepreneurship,,"Ambedkar, AABCS, Scheduled Caste, Scheduled Tribe, Entrepreneur, Loan, Subsidy, MSME"
Annal Gandhi Memorial Award,agma,"The “Annal Gandhi Memorial Award”, introduced on May 7, 2012, by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, aims to encourage academic excellence among students from the Hindu Adi Dravidar community. The scheme helps students pursue higher education through providing financial assistance. ﻿ ﻿","In first year: ₹2,000/-. For the succeeding five years: ₹1,500/- per annum.",The beneficiary should be a resident of Tamil Nadu. The beneficiary should be a Student. The beneficiary should belong to the SC/ST (Hindu Adi Dravidar) community. The beneficiary must have secured the first rank in plus 2 Public Examinations in their district.,"Step 1: The interested applicant should collect the application form from the concerned educational institution. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the educational institution. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). ﻿",Proof of identity (Aadhar card or any other document as directed by the authority). Community certificate. Plus 2 Public Examination mark sheet. Bank account details. Any other documents (if required). ﻿,State,Education & Learning,,"Tribal Welfare, Education, Award, Examination"
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,admptpfdap,"The Government of Tamil Nadu introduced ""Assistance for Delivery/ Miscarriage of Pregnancy/ Termination of Pregnancy to Female Differently Abled Person with a sum of ₹6,000/- @ ₹1,000/- per month for delivery and ₹3,000/- for miscarriage/termination of pregnancy is given to female differently abled person.","A sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to a female differently abled person.",Differently abled person holding identity card issued by the welfare board for the differently abled.,"Step 1: Visit the official website of the Chennai district . Step 2: Click on the Departments. Select Differently Abled Welfare, after selecting click on Differently Abled Welfare Schemes. Step 3: You will land on the List of Scheme page of Differently Abled Welfare Schemes. Step 4: Scroll down to the section ""L. Tamilnadu differently abled welfare board schemes"". Step 5: Download the application form of the ""S.No. 6 Assistance for delivery/miscarriage of pregnancy/termination of pregnancy to female differently abled person"". ﻿ Address to apply.- Secretary, Tamil Nadu Professional Welfare Board, PO Box No. 718, T.M.S. Campus, Thenampet, Chennai-600 006.",Evidence to be attached ﻿ Copy of National Spouse Identity Card and Board Registration Details Copy of Family Card Copy of Aadhaar Card For jump i) Child birth certificate copy ii) Hospital certificate copy Certificate from the hospital where the operation was performed for abortion ﻿ ﻿,State,"Health & Wellness, Women and Child",,"Female, Delivery, Miscarriage, Pregnancy, Differently Abled Person"
Assistance For Purchase Of Spectacles By A Differently Abled Person,apsdap,"The ""Assistance for Purchase of Spectacles by A Differently Abled Persons"" scheme in Tamil Nadu is a government initiative that aims to provide financial assistance to differently-abled individuals. A sum of Rs.500/- (Rupees Five hundred only) is paid as assistance towards the reimbursement of the cost of spectacles for differently-abled persons.",A sum of Rs.500/- (Rupees Five hundred only) is paid as an assistance towards the reimbursement of the cost of spectacles for differently-abled persons.,Differently-abled persons holding identity cards issued by the welfare board for the differently abled.,"Step 1: Visit the official website of the Chennai district . Step 2: Click on the Departments. Select Differently Abled Welfare, after selecting click on Differently Abled Welfare Schemes. Step 3: You will land on the List of Scheme page of Differently Abled Welfare Schemes. Step 4: Scroll down to the section ""L. Tamilnadu differently abled welfare board schemes"". Step 5: Download the application form of the "" S.No. 7 Reimbursement for purchase of spectacles for visually impaired persons  Rs. 500 "". ﻿ Note: The application is to be submitted District Differently Abled Welfare Officer.",National Disability Identity Card and Board Registration Details Family card Aadhaar card Nasal mirror test evidence The Receipt of buying nose glasses ﻿,State,Social welfare & Empowerment,,"Differently Abled Persons, Spectacles, Tamil Nadu"
Assistance for Delivery of a Child or the Miscarriage of Pregnancy or the Termination of Pregnancy,adcmptp,"The scheme ""Assistance for Delivery of a Child or the Miscarriage of Pregnancy or the Termination of Pregnancy"" was launched by the Art and Culture Department, Government of Tamil Nadu. Under this scheme, The Tamil Nadu Folk Artiste's Welfare Board offers assistance for the delivery of a child, miscarriage, or termination of pregnancy to registered female folk artists.","Financial Assistance: Child Delivery – ₹6,000/- (₹1,000/- per month for six months). Miscarriage – ₹3,000/-. Termination – ₹3,000/-. Note: Assistance is available only twice. ﻿",The applicant should be a registered female folk artist. The applicant can be eligible only if she is giving birth to a child or has a miscarriage or termination of pregnancy. The applicant should not have any dues payable to the board. The female folk artist is not eligible if already has two children.,"Step 1: The interested applicant should visit (during office hours) the regional office and request the hard copy of the prescribed format of the application form XIV from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Director/Deputy Director in the regional offices. Step 4: Request a receipt or acknowledgment from the Assistant Director/Deputy Director to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Registration Card of the Folk Artist. Birth Certificate of Child or Certificate of miscarriage of pregnancy, or termination of pregnancy (from Registered Maternity Doctor).",State,Women and Child,,"Financial Assistance, Pregnant Women, Child"
Assistance for Funeral Rites,affr,"The “Assistance for Funeral Rites” scheme by the Adi Dravidar and Tribal Welfare Department, Tamil Nadu, offers financial support of ₹500/- to SC/ST families with an annual income below ₹24,000/-. The goal is to ease the burden of funeral expenses for economically disadvantaged communities, ensuring they can perform dignified funeral rites for their family  members. ﻿",Financial Assistance: ₹500/- for funeral expenses. ﻿,The beneficiary should be a resident of Tamil Nadu. The beneficiary should belong to the SC/ST (Adi Dravidar/Tribal) community. The beneficiary should have lost any of his/her family members due to death.,"Step 1: The interested applicant should collect the application form from the office of the Panchayat Union Commissioner/ Executive Officer Town Panchayat/ Commissioner of Municipality/ Corporation DAD and TWO. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the concerned office. Step 4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, a unique identification number (if applicable).","Proof of identity (Aadhar card or any other document as directed by the authority). Income Certificate (proving income below ₹24,000/- per annum). Caste Certificate (SC/ST). Death Certificate of the deceased family member. Any other documents (if required).",State,Social welfare & Empowerment,,"Tribal Welfare, Funeral Rites, Death Assistance"
Assistance for Marriage,afm,"The scheme ""Assistance for Marriage"" was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Under this scheme, a sum of ₹2,000/- is given to meet the marriage expenses of the differently abled person or his son or daughter. The applications are accepted offline in the prescribed form available at the District Differently Abled Welfare Office.","Financial Assistance of ₹2,000/-.",Eligibility for differently abled person: The applicant should be a differently abled person. The differently abled person shall have attained the age as prescribed by law for marriage. Eligibility for son or daughter: The children of differently-abled person should be holding identity card.,"Step 1: The interested applicant should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer. Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Differently Abled Identity Card (issued by the welfare board). Birth Certificate. Proof of Marriage.,State,Social welfare & Empowerment,,"Financial Assistance, Marriage, Differently-abled Person, Children"
Assistance for Purchase of Spectacles - Folk Artists,apsfa,"The ""Assistance for Purchase of Spectacles"" scheme was launched by the Art and Culture Department, Government of Tamil Nadu. Under this scheme, The Tamil Nadu Folk Artiste's Welfare Board provides assistance of ₹500/- for the purchase of spectacles to registered folk artists. The assistance shall be restricted to two thousand registered folk artists per year on “First come – First serve” basis.",Financial Assistance maximum of ₹500/- Note: This assistance shall be given only once.,The applicant must be a registered folk artist. The applicant should not have any dues payable to the board. The applicant must not have availed similar benefits from any other government scheme.,"Step 1: The interested applicant should visit (during office hours) the regional office and request the hard copy of the prescribed format of the application form XV from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to the Assistant Director/Deputy Director in the regional offices. Step 4: Request a receipt or acknowledgment from the Assistant Director/Deputy Director to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Registration Card of the Folk Artist. Medical Prescription (from a registered eye specialist). Purchase Bill.,State,"Sports & Culture, Social welfare & Empowerment",,"Spectacles, Artist, Financial Assistance"
